Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,..,5656473652,16350804543,16974320551,17716084108,15950969019,11936999283,13219084261,14845402474,15390039242,14028811072,15776758633
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,2036373523,6849321646,58318677645,60572257122,63264892768,63045305229,60291736894,61449392056,67144725831,68697759361,78930257227,65091751273
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,2789944498,3922247990,13042007432,12043276401,12435416063,11335179561,10721994676,12895153157,13682062251,12541928105,10581585630,12310595844
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,..,..,96927201.48,98491843.64,104654365.2,86529661.37,99723394.96,109359680.2,124021393.7,118724073.8,114626625.6,133218896.9
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,3627562403,5494252208,21703106502,22162208956,22731602970,24360795411,24524098185,28971589213,33111525872,34186190996,33433670512,36288830373
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,3.18331E+11,4.17479E+11,8.38923E+11,8.77173E+11,8.92168E+11,7.65573E+11,7.8406E+11,8.3387E+11,9.14043E+11,9.10194E+11,9.09793E+11,1.01285E+12
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,2529440424,3420033047,9659153061,10151385306,10635039739,8738205837,8724570250,9173668102,9846922416,9438130987,9435529927,10071351960
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,45495129385,52623281957,1.76207E+11,1.90907E+11,2.01313E+11,1.78064E+11,1.88838E+11,2.06624E+11,2.11953E+11,2.13435E+11,2.11735E+11,2.49886E+11
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,1009455484,5107329007,10532006608,10982979274,11880434071,12756706583,13286083645,13785909906,13025239912,12596636042,12586970511,14013022092
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,3512356353,2241753120,9426913349,10224897935,10862944204,9683867894,10398862245,11185102400,12808660528,12916455161,13744174690,14915001427
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,54035795388,69448756933,4.63971E+11,5.20117E+11,5.74184E+11,4.93027E+11,4.04649E+11,3.75746E+11,4.21739E+11,4.4812E+11,4.32199E+11,4.40834E+11
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,4699646643,3772857145,9745251126,10817712139,11362272838,10064515432,10672471861,11307058382,12683070061,12606338449,12363580535,13825049832
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,..,..,746000000,772000000,832000000,910000000,1230000000,1560000000,1302000000,1182000000,..,..
